minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 136157023ns or 0.136157023s,,,,,136157023,,0.136157023
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 134861052ns or 0.134861052s,,,,,134861052,,0.134861052
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 135120830ns or 0.135120830s,,,,,135120830,,0.13512083
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 137006068ns or 0.137006068s,,,,,137006068,,0.137006068
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 138289129ns or 0.138289129s,,,,,138289129,,0.138289129
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 142372856ns or 0.142372856s,,,,,142372856,,0.142372856
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 138402443ns or 0.138402443s,,,,,138402443,,0.138402443
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 145759267ns or 0.145759267s,,,,,145759267,,0.145759267
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 150096250ns or 0.150096250s,,,,,150096250,,0.15009625
minimum m,c is 1.320000,34.480000 with error 9.558794,,,,,
Time elapsed was 146938395ns or 0.146938395s,,,,,146938395,,0.146938395
,,,,,,,
Mean time =,,,,,,,0.1405003313
