image dimensions 100x72,,,,,
image dimensions 100x73,,,211923,,0.000211923
image dimensions 100x72,,,,,
Time elapsed was 950534ns or 0.000950534s,,,950534,,0.000950534
image dimensions 100x72,,,,,
Time elapsed was 841331ns or 0.000841331s,,,841331,,0.000841331
image dimensions 100x72,,,,,
Time elapsed was 857850ns or 0.000857850s,,,857850,,0.00085785
image dimensions 100x72,,,,,
Time elapsed was 5046699ns or 0.005046699s,,,5046699,,0.005046699
image dimensions 100x72,,,,,
Time elapsed was 770941ns or 0.000770941s,,,770941,,0.000770941
image dimensions 100x72,,,,,
Time elapsed was 1385026ns or 0.001385026s,,,1385026,,0.001385026
image dimensions 100x72,,,,,
Time elapsed was 551025ns or 0.000551025s,,,551025,,0.000551025
image dimensions 100x72,,,,,
Time elapsed was 446563ns or 0.000446563s,,,446563,,0.000446563
image dimensions 100x72,,,,,
Time elapsed was 629342ns or 0.000629342s,,,629342,,0.000629342
,,,,,
Mean time =,,,,,0.0011691234
